arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
B,0,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,6.556510925292969e-07,8.073111530393362e-07,4.522140853834459e-06,0.8204122281499322,0.5605557300760172,1.0978204556897755
B,0,K0p445_a0p030,0.445,0.03,weak,True,,1.8477439880371094e-06,3.066943463636562e-07,3.5681704919436656e-06,2.2708230941389393,0.6965082767413713,4.896078562870388
B,0,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,7.152557373046875e-07,1.280131982639432e-07,2.28767305674756e-06,1.2867295716428417,0.9483028226937178,0.836888692496874
B,0,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,7.748603820800781e-07,3.3541437005624175e-07,6.738237593045767e-06,0.9421793608491871,0.5599984845724884,0.7213795547578485
B,0,K0p368_a0p186,0.368,0.186,transition,True,,1.1920928955078125e-06,1.3496901374310255e-06,1.7018842183853602e-05,0.850997910466358,0.8091847489872647,0.9374984639172079
B,0,K0p472_a0p032,0.472,0.032,weak,True,,7.748603820800781e-07,2.977321855723858e-08,8.325517258440469e-06,4.444079347202872,1.6633400009840504,35.64716147276848
B,0,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,4.76837158203125e-07,2.3111351765692234e-07,5.438638999459133e-06,1.0663088047234843,1.867639276227778,1.0320573600262521
B,0,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,2.980232238769531e-07,3.4784898161888123e-06,3.066202506066929e-05,0.41842102341458526,0.13338510467672582,0.3807406796582058
B,0,K0p342_a0p167,0.342,0.167,transition,True,,1.2516975402832031e-06,1.690728822723031e-06,0.00017787336311238762,0.849809391782328,0.7817857004136591,1.2179771585740091
B,0,K0p474_a0p051,0.474,0.051,weak,True,,8.344650268554688e-07,1.1145311873406172e-07,5.926161918862784e-06,2.6037698045698745,1.3773766882672667,5.34284885427723
B,0,K0p295_a0p178,0.295,0.178,strong_nonlinear,False,78.74,1.3709068298339844e-06,5.473382771015167e-06,0.00022701445832998846,,,
B,0,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,1.3709068298339844e-06,2.4855253286659718e-06,1.717971509070665e-05,0.6286636079468298,0.22263608746884078,0.3726685916007911
B,0,K0p321_a0p185,0.321,0.185,transition,True,,1.1920928955078125e-06,2.573360688984394e-06,3.30206965138323e-05,0.42932455800676483,0.18484144756107235,0.5459835700470274
B,0,K0p412_a0p043,0.412,0.043,transition,True,,1.4901161193847656e-06,1.133048499468714e-07,8.655138496443568e-06,1.393514217055686,1.0542879255848778,2.4892637498477654
B,0,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,8.940696716308594e-07,8.492206688970327e-07,7.592899120742282e-06,1.0188208280600994,1.9959866165784692,1.1853524949384682
B,1,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,1.1920928955078125e-06,2.1806845325045288e-06,1.2307501558950198e-05,0.40161275727749307,0.11358843404994297,0.21147143165189727
B,1,K0p303_a0p035,0.303,0.035,transition,True,,1.430511474609375e-06,1.5258228813763708e-07,8.763025526930198e-06,0.31842826020512605,0.05204000791229183,0.223143994269466
B,1,K0p361_a0p035,0.361,0.035,transition,True,,1.6093254089355469e-06,1.113394318963401e-07,8.424265967602884e-06,0.6125514120544514,0.2139458491675408,0.43038901973328164
B,1,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,8.344650268554688e-07,4.5420165406540036e-07,9.344968472845252e-06,2.1856037711606286,1.2664710849934022,0.9316167302552847
B,1,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,5.960464477539062e-07,1.0864459909498692e-07,2.6416850550917677e-06,0.8393824259484125,0.8011169847930639,0.8659001015902515
B,1,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,1.3113021850585938e-06,6.498303264379501e-07,8.818174664977195e-06,1.2065557108033298,1.616337341893062,1.5477450493509473
B,1,K0p445_a0p030,0.445,0.03,weak,True,,1.1920928955078125e-06,2.6382622309029102e-08,4.995438688721132e-06,1.6359072355792061,1.4458059901977005,3.2229158231477633
B,1,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,1.5497207641601562e-06,2.5192275643348694e-07,2.28767305674756e-06,1.9647836841608237,1.35413547430559,0.917192609692022
